Year,Incident Date,Incident Type,Track,Inv Location,Racing Type Description,Division,Weather Conditions,Horse,Trainer,Jockey Driver,Incident Description,Death or Injury
2013,9/17/13,EQUINE DEATH,Finger Lakes Gaming & Racetrack,3/16/ pole,Racing,Thoroughbred,Clear,Shades of Sugar,JONATHAN B. BUCKLEY,GABRIEL J. SUAREZ,Shades of Sugar-Tr. Jonathan Buckley-stumbled and fell-fx R carpus (knee)-euthanized - 2182786/2007370,Euthanasia
2014,8/2/14,EQUINE DEATH,Saratoga Racecourse (NYRA), ,Racing,Thoroughbred,Clear - High 70s,SIR WILLIAM BRUCE,ERIC J. GUILLOT,JUNIOR R. ALVARADO,Sir William Bruce-Tr. E. Guillot-pulled up without incident-collapsed after unsaddling and died-sent for necropsy,Equine Death
2014,5/21/14,EQUINE DEATH,Belmont Park (NYRA),3/16 pole,Racing,Thoroughbred, ,See The Music,JASON SERVIS,LARRY MEJIAS,See The Music-Tr. Jason Servis-collapsed at the 3/16 pole and died-to be continued,Equine Death
2013,8/25/13,EQUINE DEATH,Saratoga Racecourse (NYRA),1/4 pole,Racing,Thoroughbred,88* Partly Cloudy,Kris Royal,CHARLES LOPRESTI,JOSE LEZCANO,Kris Royal-Tr. Charles Lopresti-fell unseating rider-fx LF leg-euthanized on track-sent for necropsy, 
2014,8/27/14,EQUINE DEATH,Saratoga Racecourse (NYRA),After Finish,Racing,Thoroughbred,Ptly Sunny  72*,Divine Guidance,RODRIGO A. UBILLO,WILMER GARCIA,Divine Guidance-Tr. Rodrigo Ubillo-pulled up-vanned off-previously submitted as Racing Incident-lame RF-xrays revealed fx RF leg-euthanized,Equine Death
2015,6/6/15,EQUINE DEATH,Belmont Park (NYRA),3/8 pole,Racing,Thoroughbred, ,Helwan,CHAD C. BROWN,JOSE L. ORTIZ,Helwan-Tr. Chad Brown-pulled up-fx LF leg-euthanized on track-investigation continues,Equine Death
2014,8/23/14,EQUINE DEATH,Saratoga Racecourse (NYRA),1/16 Pole,Racing,Thoroughbred,Cloudy  65*,Ludicrous,CHAD C. BROWN,IRAD ORTIZ JR,Ludicrous-Tr. Chad Brown-suffered fx RF leg-euthanized on track,Equine Death
2014,6/27/14,EQUINE DEATH,Finger Lakes Gaming & Racetrack,3/8 pole,Racing,Thoroughbred, ,Elsaroarin,MARK L. TASSO,PEDRO A. RODRIGUEZ,Elsaroarin-Tr. Mark Tasso-pulled up before wire-fx RF Pastern-euthanized on track,Equine Death
2014,10/8/14,EQUINE DEATH,Belmont Park (NYRA),After Finish,Racing,Thoroughbred, ,Stenson,DEBRA S. DIVITTO,JOE A. BRAVO,Stenson -Tr. Debra Divitto-pulled up-splint applied-vanned off-xrays revealed fx RF sesamoids-euthanized,Equine Death
2015,4/12/15,EQUINE DEATH,Aqueduct Racetrack (NYRA),1/8 pole,Racing,Thoroughbred,60* Clear,Con Sneaky,RICHARD K. METIVIER,SAMUEL JIMENEZ,Con Sneaky-Tr. Richard Metivier-fell-fx L tibia-euthanized on track,Equine Death
2014,10/31/14,EQUINE DEATH,Aqueduct Racetrack (NYRA),3/8 Pole,Racing,Thoroughbred, ,Summer Sunset,BERNARDO J. CALLEJAS,ISRAEL RODRIGUEZ,Summer Sunset-Tr. Bernardo Callejas-pulled up-sustained fx LR leg-euthanized on track,Equine Death
2015,6/4/15,EQUINE DEATH,Finger Lakes Gaming & Racetrack,Stretch,Racing,Thoroughbred,Cloudy/72,Hughes Next,JEREMIAH C. ENGLEHART,JAIME RODRIGUEZ,Hughes Next-Tr. Jeremiah Englehart-fell unseating rider Jaime Rodriguez-horse fx LF leg-euthanized on track-rider to hospital via ambulance and returned to work 6/5/15 without complications,Equine Death
2013,8/10/13,EQUINE DEATH,Finger Lakes Gaming & Racetrack,3/16 POLE,Racing,Thoroughbred, ,HOOKSHOT,JEREMIAH C. ENGLEHART,WILFREDO ROHENA PIZARRO,Sunshine Platter-Tr. Bireta-fx LF leg-fell-euthanized on track; Hookshot-Tr. Englehart-fell over fallen horse-trampled by 3rd horse-internal injuries-euthanized on track; Head Spin-Tr. Conway-ran over fallen horse & fell-uninjured; 3 jockeys unseated,Equine Death
2015,1/22/15,EQUINE DEATH,Aqueduct Racetrack (NYRA),3/8 pole,Racing,Thoroughbred, ,Miss Macarena,JEREMIAH C. ENGLEHART,JOSE L. ORTIZ,Miss Macarena-Tr. Jermiah Englehart-pulled up-ambulanced off-xrays revealed fx LF leg-euthanized,Equine Death
2014,12/3/14,EQUINE DEATH,Finger Lakes Gaming & Racetrack,Area of 1/8 Pole,Racing,Thoroughbred,Rainy,Carla Sweetrevenge,JEREMIAH C. ENGLEHART,GUILLERMO RODRIGUEZ,Carla Sweetrevenge-Tr. Jeremiah Englehart-went down unseating jockey Guillermo Rodriguez-horse fx LF leg-euthanized on track-jockey uninjured,Equine Death
2013,10/3/13,EQUINE DEATH,Belmont Park (NYRA),After Finish,Racing,Thoroughbred,77* Mostly cloudy,Lavalette Gold,RAINDRANAUTH PERSAUD,ABEL LEZCANO,Lavalette Gold-Tr. Randi Persaud-fell unseating rider-ambulanced off- fx LF leg-euthanized,Equine Death
2013,8/11/13,EQUINE DEATH,Saratoga Racecourse (NYRA),1/2 mile pole,Racing,Thoroughbred,82* Clear,Charmed Hour,KENNETH G. MC PEEK,JOHN R. VELAZQUEZ,Charmed Hour-Tr. Ken McPeek-stumbled-unseating rider-suffered fx RF leg-euthanized on track,Equine Death
2013,9/10/13,EQUINE DEATH,Finger Lakes Gaming & Racetrack,First Turn,Racing,Thoroughbred,clear,Mineswept,NIRKA Y. HUERTAS,LUIS E. PEREZ,Mineswept-Tr. Nirka Huertas-fx RF sesamoids-euthanized,Equine Death
2015,5/30/15,EQUINE DEATH,Belmont Park (NYRA),Unsaddling Area-after finish,Racing,Thoroughbred, ,Soul House,GEORGE R. WEAVER,RAJIV C. MARAGH,Soul House-Tr. George Weaver-collapsed after being unsaddled-vet administered medication-horse died-cardiovascular collapse,Equine Death
2013,11/16/13,EQUINE DEATH,Aqueduct Racetrack (NYRA),After Finish,Racing,Thoroughbred,60* Clear,M P Joe,PETER A. CHIN,EDDIE CASTRO,M P Joe-Tr. Peter Chin-pulled up-ambulanced-xrays reveal fx RF knee-euthanized,Equine Death
2014,12/27/14,EQUINE DEATH,Aqueduct Racetrack (NYRA),vicinity of 1/2 mi. pole,Racing,Thoroughbred, ,Wicked Irish,PETER A. CHIN,ANDRE S. WORRIE,Wicked Irish-Tr. Peter Chin-stumbled-unseating Jockey Andre Worrie-splint applied-ambulanced off-fx LF sesamoids-euthanized,Equine Death
2014,6/25/14,EQUINE DEATH,Belmont Park (NYRA),1/16 pole,Racing,Thoroughbred, ,Roses for Romney,CHRISTOPHER CLEMENT,IRAD ORTIZ JR,Roses for Romney-Tr. Christopher Clement-clipped heels of Ballerina Belle-Tr. Linda Rice and fell unseating  jockey Irad Ortiz  Jr.-horse died of apparent neck trauma-jockey transported to hospital-investigation continues,Equine Death
2014,10/13/14,EQUINE DEATH,Belmont Park (NYRA),3/8 Pole,Racing,Thoroughbred, ,Giant Hearted Lee,RODOLFO (RUDY) RODRIGUEZ,JAVIER J. CASTELLANO,Giant Hearted Lee-Tr. Rudy Rodriguez-pulled up-splint applied-ambulanced off-fx LF leg-euthanized,Equine Death
2013,10/18/13,EQUINE DEATH,Belmont Park (NYRA),1/8 pole,Racing,Thoroughbred,68* Clear,Formulaforsuccess,RODOLFO (RUDY) RODRIGUEZ,JOEL ROSARIO,Formulaforsuccess-Trainer Rudy Rodriguez-pulled up-went over inside rail- died from suspected cardiovascular collapse-no reported injury to the rider,Equine Death
2014,12/10/14,EQUINE DEATH,Aqueduct Racetrack (NYRA),After Finish,Racing,Thoroughbred, ,Sage Valley,RODOLFO (RUDY) RODRIGUEZ,VICTOR E. SANTIAGO,Sage Valley-Tr. Rudy Rodriguez-fell after finish unseating  jockey Victor Santiago-horse died on track,Equine Death
2014,12/5/14,EQUINE DEATH,Aqueduct Racetrack (NYRA),1/8 Pole,Racing,Thoroughbred, ,Quick Money,RODOLFO (RUDY) RODRIGUEZ,ANGEL E. SERPA,Quick Money-Tr. Rudy Rodriguez-fell unseating rider after clipping heels-rider Angel Serpa okay-horse died on track due to neck trauma,Equine Death
2013,8/25/13,EQUINE DEATH,Saratoga Racecourse (NYRA),1/2 pole,Racing,Thoroughbred,89* Partly Cloudy,Sarava's Dancer,WAYNE M. CATALANO,ANNA (ROSIE) R. NAPRAVNIK,Sarava's Dancer-Tr. Wayne Catalano-pulled up-fx LF leg-euthanized on track-sent for necropsy, 
2014,7/28/14,EQUINE DEATH,Saratoga Racecourse (NYRA),3/8 pole,Racing,Thoroughbred, ,Father Johns Pride,EDWARD J. KENNEALLY,IRAD ORTIZ JR,Father Johns Pride-Tr. Edward Kenneally-pulled up-DNF race-ambulanced off-euthanized in necropsy area,Equine Death
2015,6/20/15,EQUINE DEATH,Belmont Park (NYRA),1/8 pole,Racing,Thoroughbred, ,Animal Kracker,THOMAS M. BUSH,JOSE L. ORTIZ,Animal Kracker-Tr. Thomas Bush-pulled up-rider off-splint applied-ambulanced to barn-vet check revealed fx both RF sesamoids-euthanized,Equine Death
2013,7/13/13,EQUINE DEATH,Finger Lakes Gaming & Racetrack,3/8 Pole,Racing,Thoroughbred, ,Asweetkitty,SALVATORE . IORIO JR,DEAN J. FRATES,Asweetkitty-Tr. Sal Iorio  Jr.-RF bilateral sesamoid fx-euthanized,Equine Death
2014,7/26/14,EQUINE DEATH,Finger Lakes Gaming & Racetrack,3/8 pole,Racing,Thoroughbred, ,Chichita,SALVATORE . IORIO JR,DEAN J. FRATES,Chichita-Tr. Sal Iorio  Jr.-pulled up-fx LF sesamoid-poor prognosis-euthanized,Equine Death
2014,11/3/14,EQUINE DEATH,Finger Lakes Gaming & Racetrack,1/2 pole,Racing,Thoroughbred, ,Antone Suavey,SALVATORE . IORIO JR,RAFAEL J. ROHENA JR.,Antone Suavey-Tr. Salvatore Iorio  Jr.-went down unseating Jockey Rafael Rohena  Jr.-fx RF leg-euthanized on track-jockey transported hospital-will be out for rest of 2014,Equine Death
2013,9/19/13,EQUINE DEATH,Belmont Park (NYRA),After Fence #9,Racing,Thoroughbred, ,Sulwaan,JAMES M. DAY,XAVIER AIZPURU,Sulwaan-Tr. James Day-pulled up-ruptured RF sesamoidian ligaments-euthanized,Equine Death
2014,10/24/14,EQUINE DEATH,Belmont Park (NYRA),After finish,Racing,Thoroughbred,57* Partly Cloudy,Chase This Bandit,LINDA L. RICE,CORNELIO VELASQUEZ,Chase This Bandit-Tr. Linda Rice-fell unseating rider-fx LF leg-euthanized on track,Equine Death
2015,1/2/15,EQUINE DEATH,Aqueduct Racetrack (NYRA),1/8 Pole,Racing,Thoroughbred, ,Golden Bay,LINDA L. RICE,ISRAEL RODRIGUEZ,Golden Bay-Tr. Linda Rice-pulled up-fx RR leg-euthanized on track,Equine Death
2014,2/22/14,EQUINE DEATH,Aqueduct Racetrack (NYRA),3/16 Pole,Racing,Thoroughbred, ,Andromeda's Coming,CARL J. DOMINO,MANUEL FRANCO,Andromeda's Coming-Tr. C. Domino-collided with Pleasant Shaker-fx RF humerus-euthanized-Pleasant Shaker-Tr. O. Barrera-fell after clipping heels of Sweetest Side-Tr. J. Ferraro-no injuries to other horses reported,Equine Death
2014,9/13/14,EQUINE DEATH,Finger Lakes Gaming & Racetrack,Finger Lakes,Racing,Thoroughbred,Overcast,DJ'S Hope,ADRIANNE N. D'ALESSANDRO,LUIS E. PEREZ,DJ'S Hope-Tr. Adrianne D'Alessandro-suffered fx to LF leg-euthanized on track,Euthanasia
2014,12/3/14,EQUINE DEATH,Aqueduct Racetrack (NYRA),1/4 pole,Racing,Thoroughbred, ,Princes On Thelake,EDUARDO E. JONES,ALEXANDRA JARA,Princes On Thelake-Tr. Eduardo Jones-fell at 1/4 pole unseating Jockey-Fx LF cannon bone-euthanized-Jockey transported to hospital,Equine Death
2014,10/31/14,EQUINE DEATH,Aqueduct Racetrack (NYRA),After finish,Racing,Thoroughbred, ,Jesses Giant Dunk,ABIGAIL C. ADSIT,JUNIOR R. ALVARADO,Jesses Giant Dunk-Tr. Abigail Adsit-stumbled after race unseating jockey Junior Alvarado-ran loose-horse ambulanced off-xrays revealed LF sesamoid ligament rupture-euthanized,Equine Death
2014,7/30/14,EQUINE DEATH,Saratoga Racecourse (NYRA),Saratoga RT Gate,Racing,Thoroughbred, ,Lavender Road,ABIGAIL C. ADSIT,JUNIOR R. ALVARADO,Lavender Road-Tr. Abigail Adsit-late scratch at gate-collapsed on horse path leaving track-treated for heat exhaustion with no resolution-sent to vet hospital where xrays revealed a fx to the 7th vertebrae-euthanized next day,Equine Death
2015,1/9/15,EQUINE DEATH,Aqueduct Racetrack (NYRA),3/8 pole,Racing,Thoroughbred, ,Italian Rules,NAIPAUL R. CHATTERPAUL,ANDRE S. WORRIE,Italian Rules-Tr. Niapaul Chatterpaul-pulled up-ambulanced off where exam revealed torn RF suspensory-euthanized,Equine Death
2013,8/12/13,EQUINE DEATH,Finger Lakes Gaming & Racetrack,Finger Lakes,Racing,Thoroughbred, ,Wisdom Seeker,JEFFREY S. ENGLEHART,CHARLIE AMARO,Wisdom Seeker-Tr. Jeffrey Englehart-fx LF medial sesamoid-euthanized 1 week later,Equine Death
2013,12/28/13,EQUINE DEATH,Aqueduct Racetrack (NYRA),1/16 Pole,Racing,Thoroughbred, ,Mia Missile,LAURA M. PERILLO,ANGEL SAEZ-ARROYO,Mia Missile-Tr. Laura Perillo-fell unseating Jockey Angel Arroyo-stood up-fx R humerus-euthanized on track-Rider to first aid,Equine Death
2014,4/25/14,EQUINE DEATH,Aqueduct Racetrack (NYRA),After finish,Racing,Thoroughbred,50* Mostly Cloudy,Aussi Austin,DAVID JACOBSON,TAYLOR B. RICE,Aussi Austin-Tr. David Jacobson-pulled up-ambulanced off-spiral fracture left front  sent to Cornell  but euthanized after operation,Euthanasia
2014,11/28/14,EQUINE DEATH,Aqueduct Racetrack (NYRA),1/2 mile pole,Racing,Thoroughbred,36* Partly cloudy,Cherokee Artist,DAVID JACOBSON,ANGEL CRUZ,Cherokee Artist-Tr. David Jacobson-pulled up-ambulanced off-xrays revealed a fracture RF leg-euthanized,Euthanasia
2013,8/30/13,EQUINE DEATH,Saratoga Racecourse (NYRA),1/4 Pole,Racing,Thoroughbred,85* Clear,Saginaw,DAVID JACOBSON,JUNIOR R. ALVARADO,Saginaw-Tr. David Jacobson-pulled up-ambulaced off-x-rays revealed a fx LF leg-euthanized, 
2014,12/11/14,EQUINE DEATH,Aqueduct Racetrack (NYRA),1/4 Pole,Racing,Thoroughbred, ,Ludo Bagman,DAVID JACOBSON,RUBEN SILVERA,Ludo Bagman-Tr. David Jacobson-stumbled unseating rider-ran loose-pulled up-fx LF sesamoids-splint applied-ambulanced off-euthanized,Equine Death
2014,1/2/14,EQUINE DEATH,Aqueduct Racetrack (NYRA),3/8 Pole,Racing,Thoroughbred,25* Cloudy,Uncle Smokey,DAVID JACOBSON,DAVID COHEN,Uncle Smokey-Tr. David Jacobson-took bad step-pulled up-fx LF cannon bone-euthanized on track,Equine Death
2013,12/26/13,EQUINE DEATH,Aqueduct Racetrack (NYRA),After finish,Racing,Thoroughbred,40* Cloudy,Coronate,DAVID JACOBSON,DAVID COHEN,Coronate-Tr. David Jacobson-unseated his rider-ran loose through harrow yard-jumped rail to main track-fell-euthanized on track,Equine Death
2015,4/12/15,EQUINE DEATH,Aqueduct Racetrack (NYRA),5/8 pole,Racing,Thoroughbred,60* Clear,Subtle Humor,DAVID JACOBSON,CORNELIO VELASQUEZ,Subtle Humor-Tr. David Jacobson-pulled up-splint applied-ambulanced off to barn-fx RF leg-euthanized,Equine Death
2013,10/26/13,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After the wire,Racing,Thoroughbred, ,My Cousin Eddie,AMBER R. COBB,JAIME RODRIGUEZ,My Cousin Eddie-Tr. Amber Cobb-ambulanced off-suffer fx L carpal bones-euthanized-218191,Equine Death
2014,5/30/14,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After Finish,Racing,Thoroughbred, ,Kissinginthedark,RAFAEL A. RAMOS,PEDRO A. RODRIGUEZ,Kissinginthedark-Tr. Rafael Ramos-ambulanced off-exam revealed dropped L ankle with swelling & heat-after checking it was determined to be a torn flexor tendon-euthanized,Equine Death
2015,7/6/15,EQUINE DEATH,Finger Lakes Gaming & Racetrack,5/16th pole,Racing,Thoroughbred,Clear/81,Katmai Unleashed,PABLO R. TORRES,LUIS E. PEREZ,Katmai Unleashed-Tr. Pablo Torres-fx LF sesamoids-euthanized-rider uninjured,Equine Death
2015,7/6/15,EQUINE DEATH,Finger Lakes Gaming & Racetrack,5/16th pole,Racing,Thoroughbred,Clear/81,Katmai Unleashed,PABLO R. TORRES,LUIS E. PEREZ,Katmai Unleashed-Tr. Pablo Torres-fx LF sesamoids-euthanized-rider uninjured,Equine Death
2014,7/17/14,EQUINE DEATH,Finger Lakes Gaming & Racetrack,Finger Lakes,Racing,Thoroughbred,Clear,Indomitable Woman,ILMAR A. LOAIZA,OSCAR D. GOMEZ,Indomitable Woman-Tr. Ilmar Loaiza-vanned off after finish-xrays revealed fx RF medial sesamoid-euthanized,Equine Death
2015,7/11/15,EQUINE DEATH,Belmont Park (NYRA),Barn Area,Racing,Thoroughbred, ,Lord Cashel,MARC (JOE) J. SHARP,MANUEL FRANCO,Lord Cashel-Tr. Joe Sharp-xrays showed fx RF leg-xrays sent to surgeon with poor prognosis-euthanized,Equine Death
2014,7/29/14,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After Finish,Racing,Thoroughbred,Cloudy,Quorum,VICTOR L. CARRASCO,IRVIN ROHENA  GERENA,Quorum-Tr. Victor Carrasco  Jr.-following completion race-ambulanced off-xrays revealed fx RF sesamoids-euthanized,Equine Death
2014,8/25/14,EQUINE DEATH,Saratoga Racecourse (NYRA),final hurdle in stretch,Racing,Thoroughbred, ,Makari,ELIZABETH VOSS,JACK DOYLE,Makari-Tr. Elizabeth Voss-fell unseating rider after going over hurdle-died on track-no reported injuries to jockey Jack Doyle.,Equine Death
2015,5/19/15,EQUINE DEATH,Finger Lakes Gaming & Racetrack,1/2 mi. pole,Racing,Thoroughbred, ,Sunshine Bliss,GERALD JAMES,JAIME RODRIGUEZ,Sunshine Bliss-Tr. Gerald James-pulled up-ambulanced off-suffered injury to LR limb-non-weight bearing overnight-in obvious distress despite treatment-euthanized next day,Equine Death
2015,10/17/15,EQUINE DEATH,Finger Lakes Gaming & Racetrack,1/8 Pole,Racing,Thoroughbred, ,Sky Devil, ,DAVID M. LOPEZ,Sky Devil-Tr. Michael S. Ferraro-fell unseating rider David Lopez-ran loose-sustained fx RF sesamoid-euthanized,Equine Death
2016,7/19/16,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After Finish,Racing,Thoroughbred, ,was it worth it, ,EMANUEL DE DIEGO,Was It Worth It - Tr. James Wright-racing Injury-left stifle swelling-ligament rupture-euthanized 8-8-16,Equine Death
2016,5/20/16,EQUINE DEATH,Belmont Park (NYRA),1/4 pole,Racing,Thoroughbred, ,Rock Show,JOSEPH G. PARKER,ELIAS PELTROCHE,Rock Show-Tr. Joseph Parker-pulled up-rider off-RF splint applied-ambulanced off-xrays revealed RF sesamoid fx and suspensory rupture-euthanized,Equine Death
2015,10/1/15,EQUINE DEATH,Finger Lakes Gaming & Racetrack,Finger Lakes 3/8 Pole Area,Racing,Thoroughbred,Clear-  54,Chase The Giant,RALPH D'ALESSANDRO,HECTOR BERRIOS,Chase the Giant-Tr.-Ralph D'Alessandro-pulled up-vanned off-fx RF sesamoid-euthanized later,Equine Death
2016,7/5/16,EQUINE DEATH,Finger Lakes Gaming & Racetrack,3/8th pole,Racing,Thoroughbred,Clear/82,Sweet Hot Toddy,LUIS A. GUTIERREZ,JOSE A. GUTIERREZ,Sweet Hot Toddy-Tr. Luis Gutierrez-pulled up-fx LF sesamoids-euthanized on track,Equine Death
2015,7/16/15,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After Finish,Racing,Thoroughbred, ,RETAKING,LUIS A. GUTIERREZ,GUILLERMO RODRIGUEZ,Retaking-Tr. Luis Gutirerrez-fracture LF Ankle-euthanized,Equine Death
2015,4/16/15,EQUINE DEATH,Aqueduct Racetrack (NYRA),After finish,Racing,Thoroughbred,56* Clear,Zenstone,GREGORY J. DIPRIMA,ERIC CANCEL,Zenstone-Tr. Gregory DiPrima-pulled up-rider off-ambulanced off-x-rays next day revealed fx RF leg-euthanized,Equine Death
2015,8/31/15,EQUINE DEATH,Finger Lakes Gaming & Racetrack,1/8 pole,Racing,Thoroughbred, ,Wild Hardships,NEVILLE G. HENRY,CARLOS D. CAMILO-O'FARRILL JR,Wild Hardships-Tr. Neville Henry-pulled up-fx RF carpus-euthanized,Equine Death
2016,1/16/16,EQUINE DEATH,Aqueduct Racetrack (NYRA),1/8 pole,Racing,Thoroughbred,45* Mostly Cloudy,Bellamy Xpress,GARY P. GULLO,JACQUELINE A. DAVIS,Bellamy Xpress-Tr. Gary Gullo-pulled up-rider off-splint applied-horse ambulanced off-xray's revealed fx LF leg-euthanized,Equine Death
2016,9/17/16,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After Finish,Racing,Thoroughbred, ,Indiana Stones,PAUL W. BARROW,GABRIEL J. SUAREZ,Indiana Stones-Tr. Paul Barrow-vanned off-euthanized-investigation continues,Equine Death
2015,8/27/15,EQUINE DEATH,Saratoga Racecourse (NYRA),Last Jump-1/8 pole,Racing,Thoroughbred, ,Divine Fortune,JONATHAN E. SHEPPARD,DARREN NAGLE,Divine Fortune-Tr. Jonathan Sheppard-fell over last jump-ambulanced off-fx L humerus-euthanized,Equine Death
2015,8/27/15,EQUINE DEATH,Saratoga Racecourse (NYRA),Last Jump-1/8 pole,Racing,Thoroughbred, ,Divine Fortune,JONATHAN E. SHEPPARD,DARREN NAGLE,Divine Fortune-Tr. Jonathan Sheppard-fell over last jump-ambulanced off-fx L humerus-euthanized,Equine Death
2015,7/20/15,EQUINE DEATH,Finger Lakes Gaming & Racetrack,1/2 mile pole,Racing,Thoroughbred, ,IMPOSING FIGURE,CHRISTOPHER J. ENGLEHART,JOSE M. ROHENA,Imposing Figure-Tr. Chris Englehart-pulled up at the 1/2 mile pole-vanned off,Euthanasia
2016,6/4/16,EQUINE DEATH,Belmont Park (NYRA),1/4 pole,Racing,Thoroughbred,75* Hazy,Mordi's Miracle,CHRISTOPHER J. ENGLEHART,MANUEL FRANCO,Mordi's Miracle-Tr. Christopher Englehart-pulled up-ambulanced off-euthanized-investigation continues, 
2016,5/18/16,EQUINE DEATH,Belmont Park (NYRA),1/2 Pole,Racing,Thoroughbred,Clear,Karenina Gal,RICHARD A. VIOLETTE JR,IRAD ORTIZ JR,Karenina Gal - Tr. Richard Violette-pulled up-fx RH cannon  sesamoids & P1-sedated-vanned off-euthanized, 
2016,6/13/16,EQUINE DEATH,Finger Lakes Gaming & Racetrack,vicinity of the 1/4 pole,Racing,Thoroughbred,Cloudy/60,Anchorwoman,ARCADIO LOPEZ,CARLOS D. CAMILO-O'FARRILL JR,Anchorwoman-Tr. Arcadio Lopez-pulled up-fx RF sesamoids-euthanized on track,Equine Death
2015,8/1/15,EQUINE DEATH,Saratoga Racecourse (NYRA),5/8 pole,Racing,Thoroughbred, ,Innovation Economy,CHAD C. BROWN,IRAD ORTIZ JR,Innovation Economy-Tr. Chad Brown-pulled up-fractured RF leg-euthanized (x-ref Case  #314.15 PRP from euthanization drugs),Equine Death
2016,8/1/16,EQUINE DEATH,Saratoga Racecourse (NYRA),3/4 pole,Racing,Thoroughbred,80* Cloudy,Domestic Warrior,BRUCE R. BROWN,MICHAEL J. LUZZI,Domestic Warrior-Tr. Bruce Brown-pulled up-rider off-fx both RF sesamoids-euthanized on track,Equine Death
2015,12/27/15,EQUINE DEATH,Aqueduct Racetrack (NYRA),3/8 pole,Racing,Thoroughbred, ,BLOOPER,MICHELLE C. NEVIN,JOSE L. ORTIZ,Blooper-Tr. Michelle Nevin-collapsed and died-rider Jose Ortiz unseated and taken to hospital-investigation continues,Equine Death
2016,7/23/16,EQUINE DEATH,Saratoga Racecourse (NYRA),1/4 pole,Racing,Thoroughbred,88* clear,Rootformejustin,GEORGE R. WEAVER,ERIC CANCEL,Rootformejustin-Tr. John Terranova-pulled up-ambulanced off-euthanized-investigation continues,Euthanasia
2015,10/30/15,EQUINE DEATH,Belmont Park (NYRA),icinity of the 1/4 pole,Racing,Thoroughbred, ,Bam Bam,WILLIAM I. MOTT,CHRISTOPHER P. DECARLO,Bam Bam-Tr. William Mott-pulled up-rider off-sedated-ambulanced off-fx RR cannon bone-euthanized,Equine Death
2016,7/23/16,EQUINE DEATH,Saratoga Racecourse (NYRA), ,Racing,Thoroughbred,Clear/90,Zamjara,TODD A. PLETCHER,JOHN R. VELAZQUEZ,Zamjara-Tr. Todd Pletcher-vanned off-euthanized-claim is void-investigation continues,Euthanasia
2016,4/13/16,EQUINE DEATH,Aqueduct Racetrack (NYRA),Near 1/8 pole,Racing,Thoroughbred, ,Cuantos,MARK A. HENNIG,JUNIOR R. ALVARADO,Cuantos-Tr. Mark Hennig-fell-unseating rider Junior Alvarado-horse sustained fx of RF cannon bone & sesamoids-euthanized on track-investigation continues,Equine Death
2015,1/4/15,EQUINE DEATH,Aqueduct Racetrack (NYRA),near 1/8 pole,Racing,Thoroughbred, ,Shewreckstheplace,PABLO E. HIZO,ANGEL CRUZ,Shewreckstheplace-Tr. Pablo Hizo-pulled up-ambulanced off-xrays revealed fx LF sesamoids-euthanized,Equine Death
2016,2/21/16,EQUINE DEATH,Aqueduct Racetrack (NYRA),1/8 pole,Racing,Thoroughbred,50* Cloudy,Kibble,ANTHONY W. DUTROW, ,Kibble-Tr. Anthony Dutrow-pulled up lame behind-rider off-ambulanced off-examined and medicated-suspected pelvic fx-went into shock-euthanized,Equine Death
2016,1/10/16,EQUINE DEATH,Aqueduct Racetrack (NYRA),1/16 Pole,Racing,Thoroughbred, ,Uncle Duncan,LINDA L. RICE,CORNELIO VELASQUEZ,Uncle Duncan-Tr. Linda Rice-pulled up-ambulanced off-DNF-claim voided-RF sesamoid fx-euthanized,Equine Death
2016,1/10/16,EQUINE DEATH,Aqueduct Racetrack (NYRA),1/16 Pole,Racing,Thoroughbred, ,Uncle Duncan,LINDA L. RICE,CORNELIO VELASQUEZ,Uncle Duncan-Tr. Linda Rice-pulled up-ambulanced off-DNF-claim voided-RF sesamoid fx-euthanized,Equine Death
2015,12/17/15,EQUINE DEATH,Aqueduct Racetrack (NYRA),After finish,Racing,Thoroughbred,50* Rain,Little Love,LINDA L. RICE,CORNELIO VELASQUEZ,Little Love-Tr. Linda Rice-ambulanced off after finish-xrays revealed RF leg fracture-euthanized,Euthanasia
2016,7/27/16,EQUINE DEATH,Saratoga Racecourse (NYRA),3/8 pole,Racing,Thoroughbred,90* Clear,indian nobility,EDUARDO E. JONES,ANGEL SAEZ-ARROYO,Indian Nobility-Tr. Eduardo Jones-pulled up-ambulanced off-ruptured LF sesmoid ligaments-euthanized,Euthanasia
2015,12/27/15,EQUINE DEATH,Aqueduct Racetrack (NYRA),1/8 pole,Racing,Thoroughbred, ,Successful Sweep,ABIGAIL C. ADSIT,ANGEL SAEZ-ARROYO,Successful Sweep-Tr. Abigail Adsit-fell unseating rider Angel Arroyo-horse sustaining LF bilateral sesamoid fx with dislocation of fetlock-euthanized,Equine Death
