Year,Incident Date,Incident Type,Track,Inv Location,Racing Type Description,Division,Weather Conditions,Horse,Trainer,Jockey Driver,Incident Description,Death or Injury
2013,5/12/13,STEWARDS/VETS LIST,Belmont Park (NYRA),After Race,Racing,Thoroughbred, ,Hillswick,RODOLFO (RUDY) RODRIGUEZ,JOEL ROSARIO,Hillswick - TOR Rudy Rodriguez - Pulled up - vanned off - no injuries reported,Steward's List
2013,6/21/13,STEWARDS/VETS LIST,Belmont Park (NYRA), ,Racing,Thoroughbred, ,Singing Monarch,RODOLFO (RUDY) RODRIGUEZ, ,Singing Monarch-Tr. Rudy Rodriguez -vanned off-possible muscle issue R side-to be re-evaluated,Steward's List
2013,4/6/13,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),After Finish,Racing,Thoroughbred, ,My Jordy,RODOLFO (RUDY) RODRIGUEZ, ,My Jordy-Tr. Rudy Rodriguez-pulled up ambulanced off-tear RF suspensory-to farm for R&R, 
2012,10/13/12,STEWARDS/VETS LIST,Belmont Park (NYRA),"Main Track, Start",Racing,Thoroughbred,Clear 50 to 55 : degrees F,Rockheaded,RODOLFO (RUDY) RODRIGUEZ,EDDIE CASTRO,Rockheaded-Tr. Rudy Rodriguez-ducked out-pulled up-on list for gatework-no injuries reported,Steward's List
2011,11/25/11,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),"Aqueduct Turf, Finish of Race",Racing,Thoroughbred,Clear 50 to 55 : degrees F,Maddie's Odyssey,RODOLFO (RUDY) RODRIGUEZ,MICHAEL J. LUZZI,Maddie's Odyssey - Tr. Rudy Rodriguez-pulled up-ambulance off-old RF tendon injury-retired,Steward's List
2012,9/23/12,STEWARDS/VETS LIST,Belmont Park (NYRA),"Widener Turf, Starting Gate",Racing,Thoroughbred,Clear 60 to 65 : degrees F,Petey Cramer,RODOLFO (RUDY) RODRIGUEZ,JAVIER CASTELLANOS,Petey Cramer-Tr. R. Rodriguez reared in gate striking Owen Rico-Tr. T. Bush-both scratched due to trauma-both walked off track-no injuries reported,Steward's List
2012,10/6/12,STEWARDS/VETS LIST,Belmont Park (NYRA),"Main Track, Starting Gate",Racing,Thoroughbred,Mostly Cloudy 70 to 75 : degrees F,Sweet Shirley Mae,WESLEY A. WARD,JOEL ROSARIO,Roving Patrol-Tr. B. Cecil-acted up in gate   became cast underneath-sedated-walked onto ambulance; Sweet Shirley Mae-Tr. W. Ward was kicked by Roving Patrol-walked off track-both horses scratched-superficial scratches to horses-no other injuries reported,Steward's List
2011,9/17/11,STEWARDS/VETS LIST,Finger Lakes Gaming & Racetrack,3/8 pole,Racing,Thoroughbred, ,CARD UP HIS SLEEVE,MARIALICE COFFEY,CHARLIE AMARO,Card Up His Sleeve-Tr. Marialice Coffey-pulled up-vanned off-slab fracture-to surgeon,Steward's List
2013,4/14/13,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),Gate,Racing,Thoroughbred, ,Thegirlsonfire,MARIALICE COFFEY,JACQUELINE A. DAVIS,Thegirlsonfire - TOR Marialice Coffey - Ducked out of gate unseated rider - no injuries reported, 
2011,11/25/11,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),"Main Track, 1/16 Pole",Racing,Thoroughbred,Clear 50 to 55 : degrees F,Indian Legend,CYNTHIA G. REESE,ALAN GARCIA,Indian Legend - Tr. Cynthia Reese-pulled up-ambulanced off-will not run past 6 1/2 f-no problems found,Steward's List
2011,8/31/11,STEWARDS/VETS LIST,Saratoga Racecourse (NYRA),After Finish,Racing,Thoroughbred,80*,KNYSNA,RALPH E. NICKS,SHAUN X. BRIDGMOHAN,Knysna-Tr. Ralph Nicks-ambulanced off-heat stroke and dehydration-being treated,Steward's List
2012,9/2/12,STEWARDS/VETS LIST,Saratoga Racecourse (NYRA),"Main Track, Finish of Race",Racing,Thoroughbred,Clear 70 to 75 : degrees F,Seniors Pride,TODD A. PLETCHER,JOEL ROSARIO,Seniors Pride-Tr. Todd Pletcher-pulled up-ambulanced off-sore LF ankle-old injury-must requalify,Equine Injury
2012,5/2/12,STEWARDS/VETS LIST,Belmont Park (NYRA),"Main Track, Starting Gate",Racing,Thoroughbred,Cloudy 50 to 55 : degrees F,Orient Moon,TODD A. PLETCHER,JOHN R. VELAZQUEZ,Orient Moon-Tr. Todd Pletcher-flipped in gate-scratched-walked off track-abrasions LH ankle-rider to hospital-must requalify,Steward's List
2012,12/9/12,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),"Main Track, Strating Gate",Racing,Thoroughbred,Cloudy 45 to 50 : degrees F,Baragah,KIARAN P. MC LAUGHLIN,PABLO MORALES,Baragah-Tr. Kiaran McLaughlin-sustained trauma in starting gate-scratched-no injuries reported,Equine Injury
2013,4/21/13,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),After finish,Racing,Thoroughbred, ,China Gold,KIARAN P. MC LAUGHLIN,KEIBER COA,China Gold - TOR Kieran McLaughlin - Pulled up after finish  vanned off - sent to farm to rest and rehabilitate, 
2012,9/2/12,STEWARDS/VETS LIST,Saratoga Racecourse (NYRA),"Main Track, Finish of Race",Racing,Thoroughbred,Clear 75 to 80 : degrees F,Antipathy,KIARAN P. MC LAUGHLIN,IRAD ORTIZ JR,Antipathy-Tr. Kiaran McLaughlin-pulled up-ambulanced off-no injury reported,Equine Injury
2012,8/3/12,STEWARDS/VETS LIST,Saratoga Racecourse (NYRA),"Main Track, 1/4 Pole",Racing,Thoroughbred,Clear 80 to 85 : degrees F,Oxbow,DARRELL W. LUKAS,JUNIOR R. ALVARADO,Oxbow-Tr. Wayne Lukas-pulled up-ambulanced off-possibly popped stifle-perfectly sound next day,Equine Injury
