"","country","year","ISO2","ISO3","region","subregionid","cap.lat","cap.long","Reg.Market","Unreg.Market","Reg.Market.Bordering","Unreg.Market.Bordering","Armed.Conflict","Non.State.Conflict","High.Illegal","NGDP_RPCH","NGDPD","PCPI","PCPIPCH","GGX_NGDP","GGXWDG_NGDP","BCA","GNI","Resource.Depletion","Adult.literacy","Primary.ed.enrollment","Mean.Schooling","Pop.MultiDim.Povert","Deprivation.Intensity","Pop.Below.National.Poverty","PPP.125.day","International.Dev.Aid","Voice.Accountability","Political.Stability","Government.Effectiveness","Rule.Law","Corruption.Control","Reg.Quality","Non.State.Conflict.Deaths","PIKE.regional","Definite.Possible","Elephant.range","Tot.Carcasses","Illegal.Carcasses","Percent.Illegal"
"133","Uganda",2013,"UG","UGA","Eastern Africa","FE",0.2,32.3,0,0,0,2,1,0,1,-0.179228739923964,-0.143213556566855,-0.082635927430051,-0.191063334086865,-0.826051657720067,-0.447051215111445,-0.189128504630908,-0.486022454060602,-0.0476381960764975,0.4126508656471,0.842764006917812,0.105877089992804,0.438161268113691,-0.105916714208136,-1.88540294296708,-0.327916262920172,0.637298379870558,0.0200057599944425,-0.284061971507834,0.215525962919486,0.573906401600579,-0.70250616435328,0.477923021293176,-0.234032680090493,-0.0494978915497652,-0.389762114638958,-0.760052201914018,-0.0249627911210373,-0.130116405517835,-0.264559023750183
"134","Uganda",2014,"UG","UGA","Eastern Africa","FE",0.2,32.3,0,0,0,2,1,0,1,0.0315238364653396,-0.12523579659771,-0.0592396996657969,-0.199101068698762,-0.765299205594008,-0.380983297509912,-0.291150636572547,-0.476971358628524,0.597065823518343,0.4126508656471,0.842764006917812,0.179996814307037,0.438161268113691,-0.105916714208136,-1.88540294296708,-0.327916262920172,0.680542391730147,0.00614038178047235,-0.383691222475091,0.504594315553116,0.525741612176612,-0.786430443736725,0.322893752669376,-0.234032680090493,-0.327574282181801,0.347378211119013,0.850575532598509,-0.197198897193983,-0.189397492390997,0.0183727884248261
"136","Botswana",2003,"BW","BWA","Southern Africa","FS",-24.45,25.57,1,0,3,0,0,0,1,-0.0255549863067635,-0.301915906563692,-0.277761148805722,0.127984041588973,2.20411012112883,-0.792679610993555,0.326116748150936,1.53760134909802,-0.799425461089296,0.977287166169266,0.636510535424958,0.877526708990026,0.773227414573342,-1.06779322741175,0.969299065359364,-0.0206405826081161,-0.750186952001422,1.73931265852674,1.84136204912698,2.4260486595296,2.22756417182345,3.15801068728519,1.94365428828183,-0.234032680090493,-1.18348617247809,0.881846647477266,0.935402656848664,0.104214288433672,-0.485802926756802,-1.33852219583173
"138","Botswana",2005,"BW","BWA","Southern Africa","FS",-24.45,25.57,1,0,3,0,0,0,1,-0.0395633420786716,-0.280013486317386,-0.228178094087181,0.0863471280588762,1.13567225937189,-0.887959285427243,0.538421009587476,1.75794523900561,-0.623668891430518,0.977287166169266,0.636510535424958,1.39499127730977,-0.668177293556669,-0.841939205733634,-0.121774451160624,-0.998295426026428,-0.740207886633778,1.57292811995909,1.8192222155787,2.30702051432751,2.11517966316752,2.97337727264161,1.77453144978314,-0.234032680090493,-1.10843007128822,0.426878173875486,0.671807334807622,1.11610141161223,-0.347480390719426,-1.21009526820423
"139","Botswana",2006,"BW","BWA","Southern Africa","FS",-24.45,25.57,1,0,3,0,0,0,1,0.671517523298335,-0.278799129550013,-0.187088590830101,0.299455713309442,1.00848291515476,-0.918470811228551,0.61052855579568,1.75794523900561,0.359247899396356,0.977287166169266,0.636510535424958,1.30810894090432,-0.450060437360524,-1.63646891584842,-0.035051684833084,0.204328315506287,-0.729269715096585,1.46200509424733,1.70852304783731,2.06896422392335,2.08306980355155,2.57054073160108,1.53494076190999,-0.234032680090493,-0.770141505896082,0.45772795186015,-0.251465759167835,0.663981633170745,-0.268438941555211,-1.06063773015737
"141","Botswana",2008,"BW","BWA","Southern Africa","FS",-24.45,25.57,1,0,3,0,0,0,1,-0.176928860618129,-0.26971785285488,-0.105384424492256,0.376936578487187,2.7358421095226,-0.882980509375911,0.146852476927444,1.75794523900561,0.59676876511548,0.977287166169266,0.636510535424958,2.0841143974412,-0.989271601449845,-1.52019462311191,0.41678623111033,-1.16631832335605,0.152268369258498,1.44813971603336,1.73066288138559,2.13698030689597,2.21150924201546,2.72160443449128,1.50675362216021,-0.234032680090493,-0.753064106007353,-0.661975734970954,1.10694157669738,0.685511146429863,-0.406761477592587,-1.23925771465239
"142","Botswana",2009,"BW","BWA","Southern Africa","FS",-24.45,25.57,1,0,3,0,0,0,1,-2.63173639969235,-0.278878326730494,-0.066591199626276,0.0499962922465135,3.2117955307597,-0.654485530595284,-0.0806323205529283,1.75794523900561,-0.388456710084209,0.977287166169266,0.636510535424958,0.569012088059397,-1.30407028554822,-1.17117260663627,-0.0748666212828146,-0.851002247727263,-0.482816915681452,1.36494744674954,1.67531329751489,2.00094814095073,2.19545431220747,2.60411044335445,1.50675362216021,-0.234032680090493,-0.396682109109148,0.0720530848414882,1.21192037872587,0.760864442836776,-0.169637130099943,-0.964738146645125
"145","Botswana",2012,"BW","BWA","Southern Africa","FS",-24.45,25.57,1,0,3,0,0,0,1,-0.102496403083811,-0.240194903908975,0.061374575273736,0.00835937871641664,1.41136759767494,-0.627476772015931,0.0600108810296374,2.87022429988099,-0.657224077567646,0.977287166169266,0.636510535424958,1.66170455744432,-0.423924348183651,-1.84041603906465,0.0402978780162568,-0.648581454085124,-0.680569626667175,1.4758704724613,1.84136204912698,1.94993607872126,2.19545431220747,2.60411044335445,1.80271858953292,-0.234032680090493,-0.597356500835524,0.0407420467720004,1.96868018164238,3.24752322426493,0.0674872173927018,-1.11475650096983
"148","Botswana",2015,"BW","BWA","Southern Africa","FS",-24.45,25.57,1,0,3,0,0,0,1,-0.123404396773226,-0.229494484857345,0.151508981049534,-0.270861384017589,1.26144049359777,-0.769768429164414,0.814349576501843,1.79180643787679,-1.13021935791482,0.977287166169266,0.636510535424958,0.223607101865511,-0.32282213532756,-1.30416476925515,0.438861648172113,-0.294530517855866,-1.18828015476017,1.10820034965076,1.7903856065326,1.45133996123041,2.14759194181303,3.31382203351755,2.10601377363353,-0.234032680090493,-0.499233657596989,-0.593472758258622,1.09376007647641,1.58975070331283,-0.288199303846265,-1.19607486125799
"149","Malawi",2013,"MW","MWI","Southern Africa","FS",-14,33.48,0,0,0,1,0,0,1,0.0946659774073733,-0.334606742728829,0.676484974749343,1.51322605172941,3.02314317942089,0.554828330297864,0.158461122137433,-0.69977915784818,-0.0867859132364795,0.492599368375902,1.16842738295916,-0.383097256920529,-0.290867980697355,-0.304018052215584,0.359321072762621,1.3763139840303,0.0849951181656412,0.519159375697366,0.413342785262965,0.283542045892105,0.846840208336392,0.019242638344347,-0.156287623076915,-0.234032680090493,-0.682966095384275,-0.482384266855519,-0.832579348018944,-0.509376839451196,-0.466042564465749,0.0635184987917006
